2020-05-25 21:39:15.235 DEBUG 15001 --- [restartedMain] .c.l.ClasspathLoggingApplicationListener : Application started with classpath: [file:/home/val/IdeaProjects/SpringHibernateTutorial/MyFirstSpringBootDemo/target/classes/]
2020-05-25 21:39:15.322  INFO 15001 --- [restartedMain] e.s.d.M.MyFirstSpringBootDemoApplication : Starting MyFirstSpringBootDemoApplication on dojo with PID 15001 (/home/val/IdeaProjects/SpringHibernateTutorial/MyFirstSpringBootDemo/target/classes started by val in /home/val/IdeaProjects/SpringHibernateTutorial/MyFirstSpringBootDemo)
2020-05-25 21:39:15.324  INFO 15001 --- [restartedMain] e.s.d.M.MyFirstSpringBootDemoApplication : No active profile set, falling back to default profiles: default
2020-05-25 21:39:15.325 DEBUG 15001 --- [restartedMain] o.s.boot.SpringApplication               : Loading source class org.example.springboot.demo.MyFirstSpringBootDemo.MyFirstSpringBootDemoApplication
2020-05-25 21:39:15.381 DEBUG 15001 --- [restartedMain] o.s.b.c.c.ConfigFileApplicationListener  : Loaded config file 'file:/home/val/IdeaProjects/SpringHibernateTutorial/MyFirstSpringBootDemo/target/classes/application.properties' (classpath:/application.properties)
2020-05-25 21:39:15.383 DEBUG 15001 --- [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : Matching URLs for reloading : [file:/home/val/IdeaProjects/SpringHibernateTutorial/MyFirstSpringBootDemo/target/classes/]
2020-05-25 21:39:15.384 DEBUG 15001 --- [restartedMain] o.s.b.d.settings.DevToolsSettings        : Included patterns for restart : []
2020-05-25 21:39:15.384 DEBUG 15001 --- [restartedMain] o.s.b.d.settings.DevToolsSettings        : Excluded patterns for restart : [/spring-boot-actuator/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot/(bin|build|out)/, /spring-boot-starter-[\w-]+/, /spring-boot-autoconfigure/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/]
2020-05-25 21:39:15.384  INFO 15001 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-05-25 21:39:15.385  INFO 15001 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-05-25 21:39:15.385 DEBUG 15001 --- [restartedMain] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6f355fdb
2020-05-25 21:39:15.409 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2020-05-25 21:39:15.422 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2020-05-25 21:39:15.514 DEBUG 15001 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/home/val/IdeaProjects/SpringHibernateTutorial/MyFirstSpringBootDemo/target/classes/org/example/springboot/demo/MyFirstSpringBootDemo/controllers/FunRestController.class]
2020-05-25 21:39:15.792 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:15.823 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:15.928 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:15.933 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:16.086 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.application.admin.enabled' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:16.151 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'server.port' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:16.152 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'server.port' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:16.223 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:16.383 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:16.389 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:16.417 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'logging.file.name' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:16.516 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.application.admin.enabled' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:16.564 DEBUG 15001 --- [restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'server.port' in PropertySource 'configurationProperties' with value of type String
2020-05-25 21:39:16.659 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2020-05-25 21:39:16.666 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBeanDefinitionValidator'
2020-05-25 21:39:16.709 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2020-05-25 21:39:16.710 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2020-05-25 21:39:16.711 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'conversionServicePostProcessor'
2020-05-25 21:39:16.713 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2020-05-25 21:39:16.722 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2020-05-25 21:39:16.723 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2020-05-25 21:39:16.725 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2020-05-25 21:39:16.726 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2020-05-25 21:39:16.726 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinderFactory'
2020-05-25 21:39:16.728 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
2020-05-25 21:39:16.732 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
2020-05-25 21:39:16.732 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'healthEndpointGroupsBeanPostProcessor'
2020-05-25 21:39:16.735 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'meterRegistryPostProcessor'
2020-05-25 21:39:16.738 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'meterRegistryPostProcessor' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6f355fdb'
2020-05-25 21:39:16.741 DEBUG 15001 --- [restartedMain] o.s.u.c.s.UiApplicationContextUtils      : Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@5fa10e4e]
2020-05-25 21:39:16.741 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'tomcatServletWebServerFactory'
2020-05-25 21:39:16.741 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryConfiguration$EmbeddedTomcat'
2020-05-25 21:39:16.767 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'websocketServletWebServerCustomizer'
2020-05-25 21:39:16.767 DEBUG 15001 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration$TomcatWebSocketConfiguration'
